Treenumber	Species	dbh	h	Formfactor	quality	V	X	Y	AL2	BA2	CT2	GL2	JE2	JH2	KM2	KS2	RZ2	SM2
1	SS	22.4	18.97678	0.49803	a	0.37245	37.160	4.010	0	0	0	0	0	0	0	0	0	0
2	SS	19.9	18.23883	0.50223	a	0.28490	37.160	6.180	0	1	0	0	1	1	1	0	0	0
3	SS	29.2	20.62994	0.48114	a	0.66470	37.660	8.900	0	0	0	0	0	0	0	0	0	0
4	SS	14.1	16.09032	0.49598	c	0.12461	37.260	13.710	1	1	0	0	1	1	1	0	0	1
5	SS	16.8	17.18285	0.50322	c	0.19167	37.260	14.100	0	0	0	0	0	1	1	0	0	1
6	SS	25.7	19.83377	0.49038	a	0.50453	37.160	21.080	0	0	0	0	0	0	1	0	0	0
7	SS	20.7	18.48461	0.50111	b	0.31173	37.260	23.300	0	0	1	0	0	1	1	1	0	0
8	SS	11.4	14.76483	0.47129	b	0.07103	37.260	25.750	0	0	0	0	0	0	1	0	0	0
9	SS	10.7	14.36967	0.45951	a	0.05937	37.360	27.850	0	0	0	0	0	0	0	0	0	0
10	SS	30.4	20.88108	0.47787	b	0.72427	37.360	30.380	0	0	0	0	0	0	0	0	0	0
11	SS	14.9	16.43445	0.49934	b	0.14309	37.460	32.450	0	0	0	0	0	0	0	0	0	1
12	SS	19.9	18.23883	0.50223	b	0.28490	37.460	34.710	0	0	1	0	0	0	0	0	0	0
13	SS	21.6	18.75000	0.49959	a	0.34325	37.560	37.030	0	0	0	0	0	1	0	0	0	0
14	SS	8	12.55628	0.36861	c	0.02326	37.660	37.800	0	0	0	0	0	0	0	0	0	0
15	SS	22.6	19.03221	0.49762	a	0.37992	35.090	36.860	0	0	0	0	0	0	0	0	0	0
16	SS	20.6	18.45441	0.50127	b	0.30831	35.090	34.560	0	0	1	1	0	1	0	1	0	0
17	SS	21.9	18.83601	0.49902	c	0.35407	35.090	0.750	0	0	0	0	0	1	0	0	0	0
18	SS	19.2	18.01553	0.50298	c	0.26235	35.190	0.970	0	0	0	0	0	1	0	0	0	0
19	SS	25.4	19.76055	0.49113	b	0.49176	34.690	5.760	0	0	0	1	0	0	1	0	0	0
20	SS	26	19.90614	0.48961	b	0.51746	34.490	8.250	1	0	1	1	0	1	1	1	1	0
21	SS	22.9	19.11444	0.49699	a	0.39126	35.090	11.960	0	0	0	0	0	0	1	0	0	0
22	SS	29.2	20.62994	0.48114	a	0.66470	34.090	14.680	0	0	0	0	0	0	0	0	0	0
23	SS	25.2	19.71125	0.49163	a	0.48333	35.290	16.530	0	0	0	1	0	0	1	1	0	0
24	SS	24.1	19.43294	0.49429	c	0.43817	33.890	16.860	1	1	1	1	1	1	1	1	1	1
25	SS	19.2	18.01553	0.50298	a	0.26235	34.790	18.730	0	0	0	0	0	0	1	0	0	0
26	SS	25.4	19.76055	0.49113	b	0.49176	34.290	21.250	0	0	1	0	0	1	0	0	0	0
27	SS	21	18.57433	0.50063	c	0.32208	34.190	23.570	1	1	0	1	1	0	1	1	0	1
28	SS	15.4	16.64027	0.50085	c	0.15524	34.290	23.810	1	1	0	1	1	0	1	1	0	1
29	SS	10.6	14.31111	0.45756	c	0.05779	34.090	25.750	0	0	0	0	0	1	0	1	0	0
30	SS	16.6	17.10817	0.50303	c	0.18625	33.990	25.930	0	1	0	0	1	1	0	1	0	0
31	SS	21.9	18.83601	0.49902	b	0.35407	33.890	27.840	0	0	0	0	0	0	0	0	0	1
32	SS	17.6	17.47294	0.50363	a	0.21409	35.090	27.890	0	0	0	0	0	1	1	1	0	0
33	SS	14.3	16.17815	0.49694	c	0.12912	33.790	30.160	0	0	0	0	0	0	0	0	0	0
34	SS	18.2	17.68198	0.50359	a	0.23165	33.890	32.610	1	0	1	0	0	0	0	0	0	0
35	SS	29	20.58708	0.48168	c	0.65500	32.320	0.760	0	0	0	0	0	0	0	0	0	0
36	SS	14.5	16.26476	0.49782	c	0.13370	32.620	0.760	0	0	0	0	0	1	0	0	0	0
37	SS	30.7	20.94232	0.47705	b	0.73953	31.820	8.010	0	0	0	0	0	0	0	0	0	0
38	SS	22.4	18.97678	0.49803	a	0.37245	32.420	12.670	0	0	0	0	0	0	1	0	0	0
39	SS	22.2	18.92086	0.49844	b	0.36505	32.420	20.380	0	1	0	0	1	0	0	0	0	0
40	SS	31.3	21.06301	0.47541	b	0.77049	32.420	23.270	0	0	0	0	0	0	0	0	1	0
41	SS	12.6	15.38893	0.48549	c	0.09316	32.420	25.500	0	0	0	0	0	1	1	1	0	0
42	SS	15.2	16.55875	0.50029	c	0.15032	32.320	25.700	0	0	0	0	0	1	1	1	0	0
43	SS	17.5	17.43741	0.50361	b	0.21122	32.420	27.660	0	0	0	0	0	0	0	1	0	0
44	SS	12.4	15.28915	0.48355	b	0.08928	32.920	30.150	0	0	0	0	0	0	0	0	0	0
45	SS	19.5	18.11221	0.50269	b	0.27191	32.420	32.620	0	1	0	0	1	1	0	0	0	0
46	SS	7.8	12.39840	0.35712	c	0.02116	32.420	34.500	0	0	0	0	0	0	0	0	0	0
47	SS	7.4	12.07013	0.33096	c	0.01718	32.420	35.700	0	0	0	0	0	0	0	0	0	0
48	SS	17.6	17.47294	0.50363	a	0.21409	32.420	36.240	0	1	0	0	1	0	0	1	0	0
49	SS	17.7	17.50827	0.50364	b	0.21697	29.640	37.050	0	0	0	0	0	0	0	0	0	0
50	SS	15.5	16.68063	0.50110	b	0.15772	29.840	2.750	0	0	0	0	0	0	0	0	0	0
51	SS	18.9	17.91733	0.50322	b	0.25296	29.840	4.980	0	0	0	0	0	1	0	0	0	0
52	SS	7.6	12.23643	0.34460	b	0.01913	29.840	7.250	0	0	0	0	0	0	0	0	0	0
53	SS	15.2	16.55875	0.50029	b	0.15032	29.840	9.570	0	1	0	0	1	0	1	1	0	0
54	SS	30.3	20.86053	0.47814	a	0.71922	28.640	11.450	0	0	0	0	0	0	0	0	0	0
55	SS	16.4	17.03259	0.50279	c	0.18090	29.840	21.700	0	0	0	0	0	1	1	0	0	0
56	SS	13.3	15.72608	0.49119	c	0.10732	29.840	22.030	0	0	0	0	0	1	1	0	0	0
57	SS	18.4	17.75014	0.50351	b	0.23765	29.240	24.170	0	0	0	0	0	0	1	0	0	0
58	SS	23.6	19.30220	0.49544	c	0.41833	29.540	26.420	0	0	0	0	0	0	0	0	0	0
59	SS	19.1	17.98297	0.50307	c	0.25920	29.140	28.500	0	0	0	0	0	1	0	0	0	0
60	SS	18.9	17.91733	0.50322	c	0.25296	29.340	26.600	0	0	0	0	0	1	0	0	0	0
61	SS	19.9	18.23883	0.50223	a	0.28490	29.840	31.240	0	0	0	0	0	0	0	0	0	0
62	SS	17.6	17.47294	0.50363	b	0.21409	29.840	34.160	0	0	0	0	0	0	1	1	0	0
63	SS	11.6	14.87328	0.47413	c	0.07453	27.710	1.630	0	0	0	0	0	0	0	0	0	0
64	SS	8.7	13.07935	0.40210	c	0.03126	27.510	1.820	0	0	0	0	0	0	0	0	0	0
65	SS	28.8	20.54393	0.48222	c	0.64536	27.910	3.870	0	1	1	0	1	1	0	1	1	0
66	SS	29.6	20.71478	0.48005	b	0.68429	27.610	6.150	1	0	0	0	0	0	1	0	0	0
67	SS	13.7	15.91086	0.49379	c	0.11582	27.610	8.630	0	1	0	0	1	0	0	0	0	0
68	SS	8.2	12.71026	0.37918	c	0.02545	27.710	8.800	0	1	0	0	1	0	0	0	0	0
69	SS	7.9	12.47784	0.36299	c	0.02220	27.810	8.800	0	1	0	0	1	0	0	0	0	0
70	SS	25.1	19.68646	0.49188	b	0.47914	27.710	15.390	0	1	0	0	1	0	0	0	0	0
71	SS	11.3	14.70988	0.46979	c	0.06930	27.710	8.900	0	0	0	0	0	0	0	1	0	0
72	SS	30	20.79849	0.47896	b	0.70415	27.710	17.700	0	0	0	1	0	1	1	0	1	0
73	SS	9.8	13.82178	0.43900	c	0.04577	27.510	19.800	0	0	0	0	0	0	0	1	0	0
74	SS	10	13.94776	0.44418	c	0.04866	27.810	19.900	0	0	0	0	0	0	0	1	0	1
75	SS	12.3	15.23866	0.48253	a	0.08737	27.710	30.020	0	0	0	0	0	0	0	0	0	0
76	SS	28.2	20.41264	0.48384	b	0.61686	27.710	33.920	0	0	0	0	0	1	0	0	0	0
77	SS	26.3	19.97768	0.48884	c	0.53054	25.450	4.010	0	0	0	0	0	1	1	0	0	0
