Treenumber	Species	dbh	h	Formfactor	quality	V	X	Y	AM2	AML2	JH2	JL2	LC2	MB2	PR2	GW2	HMK2	JT2	MB2	NMI2	RR2	SD2												
1	HL	10.1	10.16501	0.449883379	a	0.036638718	1.600	6.399	0	0	0	0	1	0	0	0	0	0	0	0	0	0												
2	HL	8.2	9.38784	0.368241659	a	0.018256438	2.200	24.782	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
3	HL	12.7	11.01924	0.508965549	b	0.071045641	2.200	27.818	0	0	0	0	0	0	0	0	0	1	0	1	1	0												
4	SP	16.2	6.50000	0.594908466	c	0.079704605	2.400	32.094	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
5	HL	8.8	9.65118	0.399580485	b	0.023455252	4.400	31.069	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
6	HL	11.6	10.68139	0.488680063	b	0.055164309	4.300	29.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
7	HL	7.6	9.10447	0.329549761	c	0.013611085	4.500	27.770	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
8	HL	14.8	11.58990	0.535978731	c	0.106866281	4.700	27.262	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
9	HL	10.6	10.34520	0.464613165	c	0.042416212	4.800	26.110	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
10	HL	13.8	11.32901	0.524642059	b	0.08890031	3.800	25.055	0	0	1	0	0	0	0	0	1	0	0	1	0	0												
11	HL	10.0	10.12790	0.446676674	c	0.035530603	4.500	22.488	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
12	HL	10.0	10.12790	0.446676674	a	0.035530603	3.700	20.145	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
13	HL	12.1	10.83876	0.498577015	c	0.062140186	3.300	17.909	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
14	HL	16.7	12.04032	0.55215784	c	0.145621056	3.400	17.597	0	0	0	1	0	0	0	0	0	0	0	1	0	0												
15	HL	14.9	11.61502	0.536988503	b	0.108754498	3.600	15.351	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
16	HL	7.0	8.79779	0.281036236	b	0.009515285	3.000	12.325	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
17	HL	12.5	10.96005	0.505666368	b	0.068012134	4.200	8.634	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
18	HL	8.1	9.34208	0.36235966	b	0.017443889	3.800	6.282	0	1	0	0	0	0	0	0	0	0	0	0	0	0												
19	HL	14.2	11.43557	0.529464465	c	0.095887325	3.300	1.927	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
20	HL	26.2	13.71977	0.586480238	b	0.433803126	3.600	1.869	0	0	0	0	1	0	0	0	0	0	0	1	0	0												
21	HL	25.8	13.66240	0.585783128	b	0.418401313	6.000	6.106	1	1	0	1	1	0	0	1	1	1	1	0	1	1												
22	HL	17.1	12.12859	0.554888019	b	0.154560252	5.900	8.693	0	0	1	0	0	0	0	0	0	0	0	0	0	0												
23	HL	7.0	8.79779	0.281036236	b	0.009515285	4.900	10.089	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
24	HL	10.0	10.12790	0.446676674	b	0.035530603	4.300	10.597	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
25	HL	24.2	13.42365	0.582601339	b	0.359718348	5.200	12.989	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
26	HL	20.3	12.76831	0.571125739	b	0.23601903	5.500	14.941	1	1	1	0	0	1	1	1	1	1	0	1	1	1												
27	HL	11.6	10.68139	0.488680063	a	0.055164309	5.700	17.118	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
28	HL	6.3	8.40488	0.207141378	c	0.005427118	5.800	17.060	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
29	HL	8.7	9.60856	0.394787074	b	0.022550169	5.900	17.255	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
30	HL	7.2	8.90284	0.298491512	b	0.010819709	5.500	19.813	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
31	HL	10.5	10.30985	0.461830473	b	0.041229052	4.500	19.940	0	0	0	0	0	0	0	1	0	0	0	0	0	0												
32	SP	11.2	8.80000	0.551952313	a	0.047853109	4.800	21.062	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
33	HL	9.2	9.81695	0.417269567	b	0.027230711	5.800	21.453	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
34	HL	7.2	8.90284	0.298491512	b	0.010819709	5.300	24.577	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
35	HL	7.6	9.10447	0.329549761	b	0.013611085	5.600	25.944	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
36	HL	13.9	11.35594	0.525886674	b	0.090622227	5.800	29.029	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
37	HL	16.6	12.01792	0.551443733	b	0.143428922	6.100	31.401	1	0	1	1	1	1	0	0	1	0	1	0	0	1												
38	HL	9.6	9.97567	0.432863011	b	0.031255379	9.100	31.723	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
39	HL	9.7	10.01431	0.436472305	b	0.032300642	9.200	31.850	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
40	HL	18.5	12.42205	0.563062428	c	0.188010966	8.800	30.054	0	0	0	0	0	0	0	0	0	0	0	1	0	0												
41	HL	24.1	13.40820	0.582379118	c	0.356205305	8.700	27.564	0	0	0	0	0	0	0	0	0	1	0	0	0	0												
42	HL	6.2	8.34521	0.194626466	b	0.00490357	8.900	24.938	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
43	HL	6.2	8.34521	0.194626466	c	0.00490357	8.300	23.454	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
44	HL	15.0	11.63996	0.537978077	c	0.110659447	8.500	21.795	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
45	HL	20.0	12.71278	0.569937165	b	0.227623735	8.500	21.502	0	0	1	0	0	0	0	0	0	0	0	1	0	0												
46	HL	16.4	11.97272	0.549975518	c	0.139095736	8.400	18.749	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
47	HL	19.2	12.56055	0.566478568	c	0.20600821	7.700	17.577	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
48	HL	22.0	13.06822	0.576927291	c	0.286597643	7.600	15.185	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
49	HL	13.8	11.32901	0.524642059	c	0.08890031	8.700	13.330	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
50	HL	18.4	12.40184	0.562541269	b	0.185509423	8.500	10.851	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
51	HL	18.4	12.40184	0.562541269	b	0.185509423	8.600	6.721	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
52	HL	9.3	9.85727	0.421350944	c	0.028213463	8.200	4.661	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
53	HL	13.6	11.27457	0.522070302	c	0.085506034	7.800	4.544	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
54	HL	20.5	12.80487	0.571887999	a	0.241703928	8.200	2.484	0	1	1	0	0	1	1	0	1	1	0	1	0	0												
55	HL	9.2	9.81695	0.417269567	c	0.027230711	10.300	1.732	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
56	HL	17.0	12.10672	0.55422383	b	0.15229982	10.100	1.908	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
57	HL	9.3	9.85727	0.421350944	c	0.028213463	10.400	2.191	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
58	HL	15.3	11.71381	0.54083074	b	0.116474872	9.700	3.802	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
59	HL	14.2	11.43557	0.529464465	b	0.095887325	10.100	5.794	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
60	BI	12.2	10.30000	0.46764856	c	0.056307516	10.600	10.109	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
61	BI	11.4	9.85000	0.471000129	c	0.047354019	11.000	10.226	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
