Treenumber	Species	dbh	h	Formfactor	quality	V	X	Y	CN2	CS2	DW2	GG2	GJ2	JH2A	JH2B	SM2
1	SS	13	15.80338	0.55032	a	0.11544	1.427	2.265	0	0	0	0	0	0	0	0
2	SS	24	19.86845	0.52788	a	0.47447	1.961	3.819	1	1	0	1	0	0	0	1
3	SS	17	17.58205	0.54351	a	0.21690	2.015	6.330	0	0	0	0	0	0	0	0
4	SS	25	20.13911	0.52527	b	0.51927	2.061	8.471	0	0	0	0	0	1	0	0
5	SS	19	18.31951	0.53952	a	0.28023	2.109	10.723	1	0	1	0	1	0	1	1
6	SS	28	20.89052	0.51690	a	0.66491	2.461	13.134	0	0	0	0	0	0	0	0
7	SS	14	16.29474	0.54876	b	0.13765	2.406	15.226	0	0	0	0	1	0	0	0
8	SS	22	19.29154	0.53281	a	0.39073	2.577	18.503	0	0	0	0	0	0	0	0
9	SS	9	13.36526	0.55597	a	0.04727	2.109	20.017	0	0	0	0	0	0	0	0
10	SS	19	18.31951	0.53952	a	0.28023	2.179	23.285	1	0	0	0	1	1	1	0
11	SS	24	19.86845	0.52788	a	0.47447	2.635	25.855	0	0	0	0	0	0	0	1
12	SS	21	18.98310	0.53514	a	0.35186	2.776	27.798	0	0	0	0	0	1	1	0
13	SS	15	16.75219	0.54710	b	0.16196	4.704	26.403	1	0	0	0	0	0	0	0
14	SS	13	15.80338	0.55032	a	0.11544	4.262	24.102	0	0	0	0	0	0	0	0
15	SS	21	18.98310	0.53514	a	0.35186	3.731	22.378	0	0	0	0	0	0	0	0
16	SS	18	17.96103	0.54156	a	0.24752	4.194	20.346	1	0	1	0	0	1	0	1
17	SS	16	17.18010	0.54535	b	0.18838	4.162	7.655	0	0	0	0	0	0	0	0
18	SS	18	17.96103	0.54156	a	0.24752	3.833	6.061	1	1	0	0	0	1	1	1
19	SS	24	19.86845	0.52788	a	0.47447	4.090	3.710	0	0	1	0	0	0	0	0
20	SS	14	16.29474	0.54876	a	0.13765	3.856	1.897	0	0	0	0	0	0	1	0
21	SS	10	14.06383	0.55457	c	0.06126	5.290	5.861	0	0	0	0	0	1	0	0
22	SS	10	14.06383	0.55457	a	0.06126	5.333	7.764	0	0	0	0	0	0	0	0
23	SS	26	20.39916	0.52257	a	0.56597	5.496	10.573	0	0	0	0	0	0	0	1
24	SS	10	14.06383	0.55457	a	0.06126	5.441	12.546	0	0	0	0	0	0	0	0
25	SS	27	20.64939	0.51978	a	0.61454	4.486	14.548	1	1	1	0	0	0	1	1
26	SS	20	18.65960	0.53738	a	0.31502	4.838	16.859	0	0	1	0	0	0	0	0
27	SS	24	19.86845	0.52788	b	0.47447	5.559	22.189	1	1	1	0	0	0	0	1
28	SS	15	16.75219	0.54710	a	0.16196	5.601	24.082	0	0	0	0	0	0	0	0
29	SS	22	19.29154	0.53281	a	0.39073	6.471	27.150	0	0	0	0	0	0	0	0
30	SS	15	16.75219	0.54710	b	0.16196	4.464	29.680	0	0	0	0	0	0	0	0
