Treenumber	Species	dbh	h	Formfactor	quality	V	X	Y	AB2	BC2	CB2	CN2	JH2	KB2	MMP2	PS2	PW2	SC2	ST2															
1	SP	13.6	9.73955	0.53421037	a	0.07558212	3.103	1.190	1	1	0	1	1	0	1	0	1	1	1															
2	SP	7.7	7.90848	0.577115697	a	0.021253353	3.387	2.850	0	0	0	0	0	0	0	0	0	0	0															
3	SP	10.8	8.99752	0.549959253	a	0.045330528	3.050	6.510	0	0	0	0	0	0	0	0	0	0	0															
4	SP	8.7	8.30152	0.566636419	a	0.027963435	3.231	8.380	0	0	0	0	0	0	0	0	0	0	0															
5	SP	10.3	8.84494	0.55343998	b	0.040787741	3.013	10.200	1	0	0	0	0	0	1	0	0	0	0															
6	SP	10.1	8.78182	0.554906659	a	0.039042454	3.375	14.030	0	0	0	0	1	0	0	0	0	0	0															
7	SP	15.3	10.11869	0.526837809	b	0.098010764	3.436	17.930	0	0	1	0	0	0	0	1	0	0	0															
8	SP	13.6	9.73955	0.53421037	b	0.07558212	3.318	19.730	0	1	0	1	0	1	1	0	0	0	0															
9	SP	16.9	10.43884	0.520933444	b	0.121982566	2.765	14.960	0	1	0	0	0	0	0	0	0	0	0															
10	SP	16.4	10.34217	0.522686309	a	0.114190593	2.445	27.030	0	0	1	0	1	1	0	1	0	1	0															
11	SP	12.3	9.41615	0.540847386	a	0.060512928	2.426	28.880	1	0	0	0	0	0	1	0	0	0	0															
12	SP	19.2	10.84956	0.5137647	b	0.161387076	2.689	32.600	0	0	0	0	0	0	0	0	1	0	0															
13	SP	9.1	8.44621	0.562990128	b	0.03092684	4.777	33.580	0	0	0	0	0	0	0	0	0	0	0															
14	SP	10.5	8.90684	0.552016941	a	0.042574017	4.530	32.000	0	0	0	0	0	0	0	0	0	0	0															
15	SP	9.6	8.61839	0.558781148	a	0.034857818	4.438	31.780	0	0	0	0	0	0	0	0	0	0	0															
16	SP	12.3	9.41615	0.540847386	a	0.060512928	4.094	30.120	0	0	0	1	0	0	0	0	0	0	1															
17	SP	14.6	9.96794	0.529718392	b	0.088398739	4.275	27.700	0	0	1	0	0	0	0	0	0	0	0															
18	SP	8.9	8.37468	0.564779803	b	0.029425056	4.025	26.230	0	0	0	0	0	0	0	0	0	0	0															
19	SP	9.6	8.61839	0.558781148	a	0.034857818	4.183	24.500	0	0	0	0	0	0	0	0	0	0	0															
20	SP	9.3	8.51619	0.561263022	a	0.032468911	4.290	24.290	0	0	0	0	0	0	0	0	0	0	0															
21	SP	9.1	8.44621	0.562990128	b	0.03092684	4.293	21.220	0	0	0	0	0	0	0	0	0	0	0															
22	SP	12	9.33667	0.542530581	a	0.057288628	4.619	17.490	0	1	0	0	0	0	0	0	0	0	0															
23	SP	12.2	9.38987	0.541401507	b	0.059427667	5.281	12.660	0	1	1	1	0	1	0	1	1	1	1															
24	SP	16.9	10.43884	0.520933444	c	0.121982566	5.136	11.030	0	0	0	0	0	0	0	0	0	0	0															
25	SP	12.6	9.49372	0.539224946	a	0.063831818	5.199	9.160	0	0	0	0	1	0	1	0	0	0	0															
26	SP	7.6	7.86641	0.578293683	b	0.020636778	5.404	9.010	0	0	0	0	0	0	0	0	0	0	0															
27	SP	8.2	8.11100	0.571604148	a	0.024484273	4.747	7.730	0	0	0	0	0	0	0	0	0	0	0															
28	SP	9.3	8.51619	0.561263022	a	0.032468911	5.141	4.930	0	0	0	0	0	0	0	1	0	0	0															
29	SP	10.6	8.93735	0.551321064	b	0.04348256	5.154	4.550	0	0	0	0	0	0	0	0	0	0	0															
30	SP	12.9	9.56946	0.537659552	b	0.067245628	5.415	2.720	0	0	0	0	0	0	0	0	0	0	0															
31	SP	10.9	9.02719	0.549292813	b	0.04626998	5.470	1.080	0	0	1	0	0	0	0	0	0	0	0															
32	SP	8.3	8.15001	0.570570487	a	0.025160182	8.106	1.080	0	0	0	0	0	0	0	0	0	0	0															
33	SP	13.4	9.69187	0.535168287	b	0.073147118	7.576	6.660	1	1	1	1	0	0	1	0	1	1	0															
34	SP	10.5	8.90684	0.552016941	a	0.042574017	7.586	8.840	0	0	0	0	0	1	0	0	0	0	0															
35	SP	8.5	8.22666	0.568564837	a	0.026541852	7.608	10.730	0	0	0	0	0	0	0	0	0	0	0															
36	SP	6	7.10549	0.602119678	b	0.012096773	7.810	10.690	0	0	0	0	0	0	0	0	0	0	0															
37	SP	10.5	8.90684	0.552016941	a	0.042574017	7.527	15.140	0	0	0	0	0	0	0	0	0	1	0															
38	SP	9.9	8.71744	0.556419462	b	0.037338043	7.458	16.800	0	0	0	0	0	0	0	0	0	0	0															
39	SP	12.7	9.51916	0.538696983	b	0.064959192	7.549	17.030	0	0	0	0	0	0	0	0	0	0	0															
40	SP	12.9	9.56946	0.537659552	b	0.067245628	7.176	18.790	0	0	0	0	0	0	0	0	0	0	0															
41	SP	9.9	8.71744	0.556419462	c	0.037338043	7.171	18.920	0	0	0	0	0	0	0	0	0	0	0															
42	SP	12	9.33667	0.542530581	b	0.057288628	7.282	21.070	0	0	0	1	1	0	0	0	0	0	1															
43	SP	11.9	9.30973	0.54310584	b	0.056234824	6.330	22.350	0	0	0	0	0	1	0	0	0	0	0															
44	SP	10.5	8.90684	0.552016941	a	0.042574017	6.630	24.760	1	0	0	0	0	0	0	0	0	0	0															
45	SP	17	10.45783	0.520592094	b	0.123573938	6.654	26.600	0	0	0	0	0	0	0	0	0	0	0															
46	SP	15.7	10.20176	0.525278235	c	0.103741764	6.800	27.930	0	0	0	0	0	0	0	0	0	0	0															
47	SP	14.4	9.92354	0.530579452	a	0.085749571	7.325	29.730	0	1	1	1	0	1	1	0	1	1	0															
48	SP	12.2	9.38987	0.541401507	b	0.059427667	7.549	31.590	0	0	0	0	0	0	0	0	0	0	0															
49	SP	11.6	9.22754	0.544876457	a	0.053136122	7.766	33.590	0	0	0	0	1	0	0	0	0	0	0															
50	SP	13.7	9.76314	0.533739266	c	0.07681561	8.973	31.970	0	0	0	0	0	0	0	0	0	0	0															
51	SP	12.8	9.54441	0.538175226	b	0.066097125	9.068	28.620	0	0	0	0	0	0	0	0	0	0	0															
52	SP	15.6	10.18119	0.525662549	a	0.102292707	9.418	26.840	0	0	0	0	0	0	0	0	0	0	0															
53	SP	15.6	10.18119	0.525662549	b	0.102292707	9.570	25.000	0	1	0	1	1	0	0	1	1	0	0															
54	SP	19	10.81585	0.514336404	a	0.15772669	9.184	20.950	0	0	1	0	0	0	0	0	0	1	0															
55	SP	13.6	9.73955	0.53421037	a	0.07558212	9.390	17.170	0	0	0	0	0	0	0	0	0	0	0															
56	SP	12.8	9.54441	0.538175226	a	0.066097125	9.449	15.070	1	0	0	0	1	1	1	0	1	1	0															
57	SP	17.9	10.62389	0.517648596	b	0.138393071	9.402	13.200	0	0	1	0	0	0	0	0	0	0	0															
58	SP	14	9.83286	0.532356223	b	0.080580177	9.355	11.310	0	1	0	1	0	0	0	0	0	0	0															
59	SP	8.4	8.18857	0.569557644	a	0.025846036	9.372	7.170	0	0	0	0	0	0	0	0	0	0	0															
60	SP	13.5	9.71580	0.534686677	b	0.074359293	9.519	5.510	0	0	0	0	0	0	0	0	0	0	0															
61	SP	13.1	9.61898	0.536645968	a	0.069574394	9.569	3.720	0	0	0	0	1	0	0	0	1	0	0															
62	SP	12.5	9.46807	0.539759245	a	0.062714991	9.819	1.960	1	1	0	0	0	0	1	0	0	0	0															
