Treenumber	Species	dbh	h	Formfactor	quality	V	X	Y	DG2	GJ2	JH2	JW2	KH2	MW2
1	HL	10.5	12.17910	0.462824068	c	0.048808983	0.916	12.994	1	0	0	0	0	0
2	HL	10.5	12.17910	0.462824068	b	0.048808983	1.076	17.248	0	0	0	0	0	0
3	BI	8.1	11.15000	0.497894364	b	0.028606979	1.401	21.083	0	0	0	0	0	0
4	BI	6.2	6.85000	0.507297869	c	0.010491241	1.942	23.933	1	0	0	0	0	0
5	HL	14.3	13.14020	0.533151502	c	0.112516053	1.987	25.646	1	0	0	0	0	0
6	BI	6.1	9.65000	0.517512265	a	0.014594779	2.416	27.160	0	0	0	0	0	0
7	BI	6.8	9.75000	0.507617232	b	0.017974163	2.195	28.097	0	0	0	0	0	0
8	HL	14.8	13.24713	0.538578332	c	0.12273942	2.401	30.527	0	0	0	0	0	0
9	HL	15.3	13.35051	0.543470034	b	0.133397083	6.513	31.763	1	0	1	0	0	0
10	HL	15.4	13.37078	0.544390175	a	0.135580893	6.973	31.255	0	0	0	0	0	0
11	HL	16.6	13.60426	0.554131619	c	0.163152525	6.620	29.312	1	0	1	0	0	0
12	HL	12.7	12.77099	0.511177131	b	0.082697706	6.656	27.220	0	1	0	0	0	0
13	HL	13.0	12.84364	0.51593169	a	0.087954267	6.491	25.118	0	0	1	1	0	0
14	HL	22.4	14.53664	0.580590673	a	0.332598359	6.418	22.906	1	0	0	0	0	0
15	HL	12.7	12.77099	0.511177131	b	0.082697706	5.954	20.814	0	0	1	1	0	0
16	HL	17.5	13.76854	0.560118805	b	0.185495749	5.791	18.732	1	0	0	0	0	0
17	HL	16.8	13.64152	0.55554904	b	0.167993943	5.613	16.471	0	1	0	0	1	1
18	HL	17.1	13.69659	0.557579136	b	0.175388517	5.451	14.399	1	0	1	0	0	0
19	HL	11.5	12.46216	0.488255427	b	0.063201307	5.290	12.347	0	0	0	0	0	0
20	HL	16.7	13.62294	0.554846936	c	0.165564413	5.018	10.155	1	1	1	0	0	0
21	HL	13.8	13.02946	0.52711123	a	0.102725111	4.828	7.734	0	0	0	0	0	1
22	HL	7.7	11.21406	0.331893665	b	0.017331376	4.766	5.662	0	0	0	0	0	0
23	HL	8.8	11.62954	0.398139205	c	0.0281613	4.644	4.108	0	0	0	0	0	0
24	HL	16.7	13.62294	0.554846936	b	0.165564413	4.588	3.391	0	0	0	0	0	0
25	HL	18.3	13.90762	0.564686643	c	0.206562972	2.452	1.548	1	0	0	0	0	0
26	HL	13.4	12.93794	0.521775341	c	0.095202421	2.794	4.128	0	0	0	0	0	0
27	HL	14.6	13.20480	0.536475904	c	0.118598062	3.028	6.609	1	0	1	0	0	0
28	HL	17.2	13.71474	0.558231406	a	0.177888748	3.113	8.571	0	1	0	0	0	0
29	HL	7.2	11.00515	0.291449113	b	0.013059114	2.723	10.813	0	0	0	0	0	0
30	HL	14.8	13.24713	0.538578332	a	0.12273942	3.701	16.949	0	0	1	0	0	0
31	HL	16.8	13.64152	0.55554904	c	0.167993943	3.916	19.230	1	0	0	0	0	0
32	HL	17.1	13.69659	0.557579136	b	0.175388517	4.094	21.123	0	0	1	0	0	0
33	HL	14.5	13.18341	0.535391162	b	0.116553403	4.534	23.674	0	0	0	0	0	0
34	HL	20.0	14.18402	0.572553431	b	0.255132191	4.808	26.592	1	0	0	0	0	0
35	BI	7.8	9.70000	0.495806476	c	0.022980687	9.999	32.868	0	0	0	0	0	0
36	HL	16.3	13.54751	0.551903136	b	0.156022575	8.838	26.991	0	0	0	0	0	0
37	HL	12.7	12.77099	0.511177131	b	0.082697706	8.578	24.949	1	1	0	0	0	0
38	HL	14.8	13.24713	0.538578332	b	0.12273942	8.055	20.824	0	0	0	0	1	0
39	HL	11.5	12.46216	0.488255427	c	0.063201307	7.791	18.742	0	0	0	0	0	0
40	HL	14.8	13.24713	0.538578332	c	0.12273942	7.710	16.431	0	0	1	0	0	0
41	HL	14.3	13.14020	0.533151502	a	0.112516053	7.523	12.765	0	0	0	0	0	0
42	HL	7.6	11.17338	0.324428689	c	0.016444513	7.432	10.334	0	0	0	0	0	0
43	HL	19.0	14.02442	0.568197224	a	0.225933775	7.388	8.491	0	0	1	1	1	1
44	HL	17.8	13.82143	0.561907492	a	0.193262486	7.215	6.290	1	0	0	1	0	1
45	HL	18.1	13.87343	0.563603948	b	0.201189312	7.169	4.427	0	0	1	0	0	0
46	HL	18.3	13.90762	0.564686643	a	0.206562972	6.972	1.917	1	0	0	0	0	1
47	HL	12.1	12.62041	0.500573909	b	0.072644419	8.714	1.199	0	0	0	0	0	0
48	HL	15.8	13.45057	0.547892855	a	0.144490872	8.669	3.341	0	0	1	0	0	1
49	HL	11.3	12.40757	0.483704882	c	0.060188581	8.825	5.503	0	0	0	0	0	0
50	HL	22.9	14.60533	0.581930812	b	0.350060934	9.102	7.963	1	0	0	0	0	0
51	HL	14.0	13.07423	0.529606543	c	0.106589718	8.836	9.816	0	0	1	0	0	0
52	HL	19.8	14.15275	0.571737987	b	0.249148413	9.475	15.893	0	0	0	0	0	0
53	HL	16.8	13.64152	0.55554904	b	0.167993943	9.605	17.696	1	0	0	1	0	0
54	HL	10.5	12.17910	0.462824068	a	0.048808983	10.126	24.919	0	0	0	0	0	0
55	HL	13.7	13.00683	0.525821665	b	0.100818646	10.574	26.971	1	1	0	0	0	0
56	HL	14.3	13.14020	0.533151502	b	0.112516053	10.730	29.133	0	0	0	0	0	0
57	HL	18.3	13.90762	0.564686643	c	0.206562972	10.958	30.916	1	0	0	0	0	0
58	HL	9.5	11.86769	0.428963681	b	0.036084772	11.140	32.052	0	0	0	0	0	0
59	HL	17.7	13.80390	0.56132182	b	0.190655803	12.623	34.841	1	0	0	0	0	0
60	HL	17.4	13.75071	0.559500976	b	0.182942351	13.248	32.042	1	1	1	0	0	0
61	BI	9.1	8.75000	0.483218681	c	0.027499477	12.902	26.533	0	0	0	0	0	0
62	HL	16.0	13.48971	0.549543608	b	0.149050904	12.824	25.297	0	0	0	0	0	0
63	HL	15.8	13.45057	0.547892855	a	0.144490872	12.710	23.474	0	0	0	0	0	1
64	HL	17.4	13.75071	0.559500976	b	0.182942351	12.610	21.880	0	1	0	0	0	0
65	HL	14.5	13.18341	0.535391162	b	0.116553403	12.521	20.456	0	0	0	0	0	1
66	HL	17.5	13.76854	0.560118805	a	0.185495749	12.404	18.603	0	0	1	0	0	0
67	HL	17.3	13.73277	0.55887193	b	0.180406689	12.283	16.670	1	0	0	1	0	1
68	HL	16.5	13.58546	0.553402768	b	0.160758265	11.626	12.576	0	0	0	0	0	0
69	HL	15.1	13.30957	0.541573085	b	0.129081785	11.901	10.583	0	0	1	0	1	0
70	BI	7.1	11.50000	0.512020576	b	0.02331266	11.512	9.159	0	0	0	0	0	0
71	HL	12.4	12.69661	0.506069548	b	0.077594569	11.746	8.103	0	0	0	0	0	0
72	HL	14.7	13.22604	0.537538093	a	0.120660062	11.648	6.549	0	0	1	1	0	0
73	HL	12.2	12.64602	0.502451244	c	0.074277497	11.528	4.636	1	1	0	0	0	0
74	HL	13.8	13.02946	0.52711123	b	0.102725111	11.404	2.664	0	0	0	0	0	0
75	HL	11.8	12.54229	0.494650739	b	0.067846813	13.112	1.229	0	0	1	0	0	0
76	HL	21.0	14.33583	0.57626457	b	0.286136512	13.218	3.222	1	1	0	0	0	0
77	HL	13.6	12.98403	0.524503071	a	0.098929387	13.315	5.025	0	0	1	0	1	0
78	HL	12.1	12.62041	0.500573909	b	0.072644419	13.414	6.888	0	0	0	0	0	0
79	HL	11.9	12.56855	0.496675272	b	0.069429093	13.410	8.691	0	0	0	0	0	0
