Treenumber	X	Y	Specie	dbh	quality	h	factor	V	AT2	CE2	JF2	LC2	NF2	PC2	PL2	RSP2	SN2
1	0.916	12.994	HL	10.6	c	13.22850059	0.466158058	0.054418357	0	0	0	0	0	0	0	0	0
2	1.076	17.248	HL	10.8	c	13.31186189	0.471749757	0.05752914	0	0	0	0	0	0	0	0	0
3	1.401	21.083	BI	8.6	b	11.15	0.492820362	0.031919075	0	0	0	0	0	0	0	0	0
4	1.942	23.933	BI	5.8	c	6.85	0.512128681	0.00926863	0	0	0	0	0	0	0	0	0
5	1.987	25.646	HL	14.2	c	14.53246319	0.533668776	0.122822404	0	0	0	0	0	0	0	0	0
6	2.416	27.160	BI	6	a	9.65	0.519183877	0.014165793	0	0	0	0	0	0	0	0	0
7	2.195	28.097	BI	6.5	b	9.75	0.511812821	0.016558934	0	0	0	0	0	0	0	0	0
8	2.401	30.527	HL	13.9	c	14.43723466	0.529969765	0.116105981	0	0	0	0	0	0	0	0	0
9	6.513	31.763	HL	16.4	b	15.17483557	0.554797349	0.177842661	0	0	0	0	0	0	0	0	0
10	6.973	31.255	HL	15.9	a	15.03675333	0.550771238	0.164440754	0	0	0	0	0	0	0	0	0
11	6.620	29.312	HL	16.3	c	15.14755903	0.554022506	0.175119759	0	0	0	0	0	0	0	0	0
12	6.656	27.220	HL	13.1	b	14.17287876	0.518818458	0.099107373	0	0	0	0	0	0	0	0	0
13	6.491	25.118	HL	12.7	a	14.03458241	0.512429661	0.091102664	0	0	0	0	0	0	0	0	0
14	6.418	22.906	HL	24.1	a	16.89151015	0.587773339	0.452900007	1	1	1	1	0	0	0	1	1
15	5.954	20.814	HL	12.8	b	14.06956063	0.514083458	0.093073058	0	0	0	0	0	0	0	0	0
16	5.791	18.732	HL	16.9	b	15.30877056	0.55846136	0.191777094	0	0	0	0	0	0	0	0	0
17	5.613	16.471	HL	17.3	b	15.41309578	0.561159408	0.203309753	0	0	0	0	0	0	0	0	0
18	5.451	14.399	HL	17.6	b	15.48976873	0.563059086	0.212184728	0	0	0	0	0	0	0	0	0
19	5.290	12.347	HL	11.6	b	13.63054744	0.491314794	0.070774857	0	0	0	0	0	0	0	0	0
20	5.018	10.155	HL	16.4	c	15.17483557	0.554797349	0.177842661	0	0	0	0	0	0	0	0	0
21	4.828	7.734	HL	13.7	a	14.3726002	0.527365899	0.111732214	0	0	0	0	0	0	0	0	0
22	4.766	5.662	HL	7.5	b	11.685663	0.315520239	0.016288946	0	0	0	0	0	0	0	0	0
23	4.644	4.108	HL	8.4	c	12.19107494	0.376343906	0.025425842	0	0	0	0	0	0	0	0	0
24	4.588	3.391	HL	16.5	b	15.20194629	0.555557729	0.180586864	0	0	0	0	0	0	0	0	0
25	2.452	1.548	HL	19.2	c	15.87781337	0.571675453	0.262804366	0	0	0	0	0	0	0	0	0
26	2.794	4.128	HL	13.5	c	14.30701519	0.524644172	0.107441314	0	0	0	0	0	0	0	0	0
27	3.028	6.609	HL	14.1	c	14.50094574	0.532462318	0.120562796	0	0	0	0	0	0	0	0	0
28	3.113	8.571	HL	17.8	a	15.54016136	0.564270479	0.218209041	0	0	0	0	1	0	0	0	0
29	2.723	10.813	HL	7	c	11.37797549	0.271462707	0.011886695	0	0	0	0	0	0	0	0	0
30	3.701	16.949	HL	15.4	a	14.89425878	0.546335702	0.151568796	0	0	0	0	0	0	0	0	0
31	3.916	19.230	HL	16.5	c	15.20194629	0.555557729	0.180586864	0	0	0	0	0	0	0	0	0
32	4.094	21.123	HL	17.8	b	15.54016136	0.564270479	0.218209041	0	0	0	0	0	0	0	0	0
33	4.534	23.674	HL	14.3	c	14.56375946	0.53484966	0.125102843	0	0	0	0	0	0	0	0	0
34	4.808	26.592	HL	21.4	b	16.36160449	0.580375333	0.341548407	0	0	0	1	0	0	0	0	0
35	9.999	32.868	BI	7.9	c	9.7	0.494808456	0.023526261	0	0	0	0	0	0	0	0	0
36	8.838	26.991	HL	17.2	b	15.38724238	0.560503136	0.200394416	0	0	0	0	0	0	0	1	0
37	8.578	24.949	HL	12.3	b	13.89185983	0.505404629	0.083425672	0	0	0	0	0	0	0	0	0
38	8.055	20.824	HL	14.9	b	14.7470606	0.54143547	0.139224154	0	0	0	0	0	0	0	0	0
39	7.791	18.742	HL	11.3	c	13.51369272	0.484461011	0.065656789	0	0	0	0	0	0	0	0	0
40	7.710	16.431	HL	14	c	14.46920397	0.531229564	0.118323996	0	0	0	0	0	0	0	0	0
41	7.523	12.765	HL	15	a	14.77689148	0.542455653	0.141651025	0	0	0	0	0	0	1	0	0
42	7.432	10.334	HL	7.3	c	11.56512323	0.298949538	0.014470507	0	0	0	0	0	0	0	0	0
43	7.388	8.491	HL	19.6	a	15.96976921	0.573491676	0.276329838	0	0	0	1	0	1	0	0	0
44	7.215	6.290	HL	18.4	a	15.68801026	0.567661098	0.236800451	0	0	0	0	0	0	0	0	0
45	7.169	4.427	HL	18.3	b	15.66370666	0.567120085	0.233647765	1	0	0	0	0	0	0	0	0
46	6.972	1.917	HL	18.7	a	15.76013636	0.569229991	0.24638873	0	0	1	0	1	0	0	0	0
47	8.714	1.199	HL	11.9	b	13.7444183	0.497657971	0.076074855	0	0	0	0	0	0	0	0	0
48	8.669	3.341	HL	16	a	15.06471392	0.551607595	0.167078656	0	0	0	0	0	0	0	0	0
49	8.825	5.503	HL	11.3	c	13.51369272	0.484461011	0.065656789	0	0	0	0	0	0	0	0	0
50	9.102	7.963	HL	23.8	b	16.83564678	0.587084807	0.439718201	1	1	1	0	1	0	1	1	1
51	8.836	9.816	HL	13.9	c	14.43723466	0.529969765	0.116105981	0	0	0	0	0	0	0	0	0
52	9.475	15.893	HL	21	b	16.27745672	0.579007367	0.326436798	0	1	1	1	0	1	1	1	1
