Treenumber	Species	dbh	h	Formfactor	quality	V	X	Y	CF2	CT2	ES2	GR2	HW2	IMN2	JH2	JS2	MB2	NMC2	NW2	OB2	PF2	RB2	RL2											
1	SS	15.3	12.93978	0.503878668	a	0.119874192	31.572	2.358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0											
2	SS	19.2	14.07514	0.49400398	a	0.20131468	30.807	3.627	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0											
3	SS	17.8	13.69656	0.497591711	b	0.16959553	30.846	5.016	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0											
4	SS	16.6	13.34756	0.500618985	a	0.144615597	30.906	7.164	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0											
5	SS	16.4	13.28695	0.501120923	b	0.140651795	30.961	9.123	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1											
6	SS	16.9	13.43712	0.499865025	b	0.150668379	31.006	10.731	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0											
7	SS	18.1	13.78013	0.49682892	b	0.176159945	31.069	12.979	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0											
8	SS	18.4	13.86233	0.49606309	a	0.182851523	30.723	14.918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0											
9	SS	17.2	13.52510	0.499109418	a	0.156849463	31.165	16.406	0	1	0	0	0	0	1	0	1	0	0	0	1	0	1											
10	SS	15.4	12.97236	0.503627745	b	0.121691401	31.214	18.165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0											
11	SS	19.6	14.17824	0.492964155	a	0.210882093	31.055	19.654	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0											
12	SS	22.3	14.82356	0.485729552	a	0.281220379	31.300	21.252	0	1	0	0	0	1	0	0	0	0	1	0	1	0	1											
13	SS	19.5	14.15266	0.493224797	a	0.208469338	31.344	22.831	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0											
14	SS	13.9	12.45993	0.507419674	a	0.095940619	31.407	25.069	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0											
15	SS	17.6	13.64005	0.498098699	b	0.165290062	31.464	27.117	1	0	1	0	1	0	0	0	0	1	0	0	1	1	0											
16	SS	19.3	14.10111	0.493744702	b	0.203685614	31.504	28.556	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0											
17	SS	14.8	12.77364	0.505135912	a	0.111003424	31.558	30.494	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0											
18	SS	16.9	13.43712	0.499865025	b	0.150668379	31.612	32.393	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1											
