Treenumber	X	Y	Species	dbh 	quality	h 	factor	V	AH2	DN2	KB2	NJA2	SE2	ST2	VS2
1	31.572	2.358	SS	15.0	a	14.30164616	0.5210577	0.131687407	0	0	0	0	0	0	0
2	30.807	3.627	SS	21.6	a	15.96474694	0.501724498	0.293511235	0	0	1	0	0	1	0
3	30.846	5.016	SS	18.7	b	15.30720294	0.510327635	0.214544814	0	0	0	0	1	0	0
4	30.906	7.164	SS	18.7	a	15.30720294	0.510327635	0.214544814	0	0	0	0	0	0	0
5	30.961	9.123	SS	17.1	b	14.89925296	0.514974548	0.176210734	0	0	0	0	0	0	0
6	31.006	10.731	SS	17.3	b	14.95228728	0.514395712	0.180795268	0	0	0	0	0	0	0
7	31.069	12.979	SS	19.0	b	15.37979174	0.509450513	0.222151649	0	0	0	0	0	0	1
8	30.723	14.918	SS	20.1	a	15.636483	0.506211734	0.251161623	0	0	0	0	0	0	0
9	31.165	16.406	SS	20.8	a	15.79261708	0.504128911	0.270528024	0	0	1	0	1	0	0
10	31.214	18.165	SS	15.2	b	14.36205632	0.520475675	0.13564198	0	0	0	0	0	0	0
11	31.055	19.654	SS	20.6	a	15.74855007	0.50472591	0.264923508	0	0	0	0	0	0	0
12	31.300	21.252	SS	22.1	a	16.06911991	0.500207533	0.308330685	1	0	1	0	1	0	1
13	31.344	22.831	SS	19.8	a	15.56789675	0.507098909	0.243076448	0	0	1	0	0	0	0
14	31.407	25.069	SS	14.6	a	14.17837109	0.522225486	0.123959551	0	0	0	0	0	0	0
15	31.464	27.117	SS	18.9	b	15.35572361	0.509743149	0.219601435	0	0	0	1	0	0	0
16	31.504	28.556	SS	20.0	b	15.61373533	0.506507806	0.24845219	0	0	1	0	1	0	0
17	31.558	30.494	SS	16.0	a	14.5959999	0.518155919	0.152063213	0	0	0	0	0	0	0
18	31.612	32.393	SS	16.9	b	14.8455947	0.515553091	0.171685764	0	0	0	0	0	0	1
19	30.100	31.983	SS	15.7	b	14.50967114	0.519024618	0.145792342	0	0	0	0	0	0	0
