Treenumber	Species	dbh	h	Formfactor	quality	V	X	Y	ES2	GH2	JH2	KW2	MJ2	TB2																				
1	HL	23	16.00232	0.584222984	a	0.388424884	2.628	3.846	0	1	0	0	1	1																				
2	HL	16	15.36026	0.551947737	a	0.17046157	2.277	7.539	0	0	0	0	0	0																				
3	HL	22	15.92367	0.581557406	a	0.352023021	2.296	8.938	1	0	1	1	0	0																				
4	HL	19	15.66430	0.570512931	a	0.253380745	2.549	12.966	0	0	0	0	0	0																				
5	HL	24	16.07761	0.586520322	b	0.426596213	2.700	16.747	0	0	0	1	0	0																				
6	HL	21	15.84137	0.578449883	b	0.317385383	2.645	20.165	1	1	0	0	1	0																				
7	HL	19	15.66430	0.570512931	b	0.253380745	2.471	22.105	0	0	0	0	0	0																				
8	HL	17	15.46752	0.559312717	a	0.196364571	2.905	24.666	0	0	0	0	0	0																				
9	HL	26	16.21922	0.590235701	c	0.508267258	2.528	26.399	0	0	0	1	0	0																				
10	HL	18	15.56865	0.565413877	b	0.224002152	5.295	27.906	1	0	0	0	0	0																				
11	HL	16	15.36026	0.551947737	a	0.17046157	4.859	24.439	0	0	0	0	0	0																				
12	HL	13	14.99291	0.518036698	a	0.103091534	4.897	22.863	0	0	0	0	0	0																				
13	HL	16	15.36026	0.551947737	a	0.17046157	4.881	19.889	0	0	0	0	0	0																				
14	HL	17	15.46752	0.559312717	b	0.196364571	4.877	14.689	0	0	0	0	0	1																				
15	HL	10	14.52873	0.447598272	c	0.051074726	4.720	13.251	0	0	0	0	0	0																				
16	HL	8	14.13395	0.34939512	b	0.024822766	4.718	2.999	0	0	0	0	0	0																				
17	HL	23	16.00232	0.584222984	b	0.388424884	6.077	2.901	0	0	0	1	0	1																				
18	HL	16	15.36026	0.551947737	a	0.17046157	6.075	6.131	0	0	0	0	1	0																				
19	HL	17	15.46752	0.559312717	b	0.196364571	6.239	8.278	0	0	0	0	0	0																				
20	HL	17	15.46752	0.559312717	c	0.196364571	6.290	9.972	0	0	0	0	0	0																				
21	HL	16	15.36026	0.551947737	a	0.17046157	5.957	12.198	0	0	0	0	0	0																				
22	HL	15	15.24608	0.542966959	b	0.146286438	6.119	14.236	0	0	0	0	0	0																				
23	HL	17	15.46752	0.559312717	b	0.196364571	6.184	16.413	1	0	0	0	0	0																				
24	HL	8	14.13395	0.34939512	b	0.024822766	6.306	20.470	0	0	0	0	0	0																				
25	HL	19	15.66430	0.570512931	a	0.253380745	6.158	22.194	1	1	1	1	0	1																				
26	HL	10	14.52873	0.447598272	a	0.051074726	6.435	24.744	0	0	0	0	0	0																				
