Treenumber	Species	dbh	h	Formfactor	quality	V	X	Y	BW2	IJ2	JH2	LC2	MT2	RM2	SM2	TD2																		
1	HL	24.0	17.36188	0.588131433	a	0.461937863	2.628	3.846	0	0	0	0	0	1	1	1																		
2	HL	17.1	16.08486	0.560669874	a	0.207112646	2.277	7.539	0	1	0	0	0	0	0	0																		
3	HL	22.4	17.10197	0.584101665	a	0.393659181	2.296	8.938	0	0	0	0	1	1	0	1																		
4	HL	21.3	16.91227	0.580727901	a	0.349964193	2.549	12.966	1	0	1	0	0	0	0	0																		
5	HL	24.8	17.48541	0.589828888	b	0.498190148	2.700	16.747	0	0	0	0	0	0	0	0																		
6	HL	22.6	17.13545	0.584657851	b	0.401887157	2.645	20.165	0	0	0	0	0	1	0	0																		
7	HL	20.3	16.73111	0.577126498	b	0.312519975	2.471	22.105	0	0	0	0	0	0	0	0																		
8	HL	18.8	16.44192	0.570516281	a	0.260391094	2.905	24.666	1	1	0	1	0	0	0	0																		
9	HL	27.4	17.86101	0.594232891	c	0.625826105	2.528	26.399	0	0	0	0	0	1	0	0																		
10	HL	18.8	16.44192	0.570516281	b	0.260391094	5.295	27.906	0	0	0	0	0	0	0	0																		
11	HL	17.0	16.06276	0.559992047	a	0.204169036	4.859	24.439	0	0	0	0	0	0	0	0																		
12	HL	14.5	15.46352	0.538002336	a	0.137378387	4.897	22.863	0	0	0	0	0	0	0	0																		
13	HL	16.3	15.90436	0.554876386	a	0.18415242	4.881	19.889	0	0	0	0	0	0	0	0																		
14	HL	18.3	16.34037	0.56791815	b	0.244084191	4.877	14.689	0	0	0	1	0	0	0	0																		
15	HL	10.8	14.35366	0.472218368	c	0.062093058	4.720	13.251	0	0	0	0	0	0	0	0																		
16	HL	9.1	13.70843	0.411607878	b	0.036698147	4.718	2.999	0	0	0	0	0	0	0	0																		
17	HL	26.0	17.66343	0.592051002	b	0.555227115	6.077	2.901	1	0	0	0	1	0	0	0																		
18	HL	18.3	16.34037	0.56791815	a	0.244084191	6.075	6.131	0	0	1	0	0	0	0	0																		
19	HL	18.0	16.27810	0.566248087	b	0.234555319	6.239	8.278	0	0	0	0	0	0	0	0																		
20	HL	18.8	16.44192	0.570516281	c	0.260391094	6.290	9.972	0	0	0	1	0	1	0	0																		
