Treenumber	Species	dbh	h	Formfactor	quality	V	X	Y	BS2	CM&SB2	GJ2	IB2	JH2	MW2	NR2	SH2	TS2																	
1	JL	14.9	15.82613	0.542559893	a	0.149721709	1.187	2.547	0	0	0	0	1	0	0	1	0																	
2	JL	11.9	14.77769	0.498392407	b	0.081914682	1.390	4.371	0	0	0	0	0	0	0	0	0																	
3	JL	9.1	13.52667	0.411656309	c	0.036215813	2.004	8.178	0	0	0	0	0	0	0	0	0																	
4	JL	23.2	17.89104	0.586968271	b	0.443931597	1.913	10.102	0	0	0	0	0	1	0	0	0																	
5	JL	24.6	18.16429	0.590212703	b	0.509550253	2.006	11.757	1	0	0	0	0	0	0	0	0																	
6	JL	16.1	16.18735	0.55362983	a	0.182447014	2.328	17.478	0	0	0	0	0	0	0	0	0																	
7	JL	17.4	16.54946	0.563062971	b	0.221579336	2.647	19.580	0	0	0	0	0	0	0	0	0																	
9	JL	14.1	15.56877	0.533516539	b	0.129697122	2.468	25.271	0	0	0	0	0	0	0	0	0																	
10	JL	18.4	16.81006	0.56895081	a	0.254313497	2.579	27.244	0	0	0	0	0	0	0	0	1																	
11	JL	15	15.85732	0.543587678	a	0.152325225	2.684	29.108	0	0	0	0	0	0	0	0	0																	
12	JL	17.9	16.68158	0.566135939	a	0.237658768	2.883	30.873	0	0	0	0	0	0	0	0	0																	
13	JL	14.7	15.76311	0.540439586	a	0.144581776	2.785	32.678	0	0	0	0	0	0	0	0	0																	
14	JL	23.7	17.99048	0.588200595	a	0.466825634	3.193	34.601	1	0	0	0	0	0	0	0	0																	
15	JL	17.4	16.54946	0.563062971	b	0.221579336	5.089	32.777	0	0	0	0	0	0	0	0	0																	
16	JL	17.9	16.68158	0.566135939	a	0.237658768	5.253	30.595	0	0	0	0	0	0	0	0	0																	
17	JL	16.3	16.24492	0.55523468	b	0.188217168	5.209	28.305	0	0	0	0	0	0	0	0	0																	
18	JL	14	15.53558	0.532273697	c	0.127294145	5.443	24.052	0	0	0	0	0	0	0	0	0																	
19	JL	18.8	16.91035	0.571035069	b	0.268053146	5.108	21.890	0	0	0	0	0	0	0	0	0																	
20	JL	19.7	17.12842	0.575245018	c	0.30032565	4.850	19.362	0	0	0	0	0	0	0	0	0																	
21	JL	13.5	15.36598	0.525632724	c	0.115611268	5.018	17.260	0	0	0	0	0	0	0	0	0																	
22	JL	24.7	18.18321	0.590421244	a	0.514418084	4.475	14.980	1	1	1	1	0	1	0	1	1																	
23	JL	18.2	16.75909	0.56785403	c	0.247582412	4.036	6.364	0	0	0	0	0	0	0	0	0																	
24	JL	17.5	16.57619	0.563699632	c	0.224749318	3.915	4.440	0	0	0	0	0	0	0	0	0																	
25	JL	32.2	19.41977	0.600363681	b	0.949423729	3.374	2.190	1	0	0	0	0	1	1	0	1																	
