Treenumber	Species	dbh	h	Formfactor	quality	V	X	Y	AC1	BB1	CK1	CP1	IP1	IS1	JH1	KT1	LT1	NW1	TC1	TH1	VH1														
1	SS	7.2	12.86379	0.320746574	b	0.016799091	33.707	23.892	1	1	1	1	1	0	1	1	0	1	1	0	0														
2	SS	8.1	13.68590	0.379509109	c	0.026764279	13.636	5.318	1	1	1	1	1	1	1	1	0	0	1	0	1														
3	SS	8.4	13.93974	0.394607358	c	0.030483754	13.430	5.250	1	1	1	1	0	1	1	1	0	0	1	0	1														
4	SS	8.5	14.02235	0.399239822	a	0.031767448	30.041	23.023	1	0	0	1	1	1	1	1	1	1	1	0	1														
5	SS	9.4	14.72483	0.433532535	c	0.044301411	39.934	20.714	1	1	1	0	1	1	1	1	1	1	1	0	0														
6	SS	9.3	14.65018	0.430296327	c	0.042821937	13.720	5.153	1	1	0	1	1	1	1	1	0	0	1	0	1														
7	SS	9.9	15.08656	0.447960301	a	0.052022368	24.475	4.593	1	0	1	1	1	1	1	1	1	1	1	0	1														
8	SS	9.8	15.01570	0.44529254	a	0.05043512	19.333	2.169	1	1	1	1	1	1	1	1	0	1	0	1	1														
9	SS	10.2	15.29493	0.455378707	c	0.056912879	9.609	4.303	1	1	1	1	1	1	1	1	1	0	1	1	0														
10	SS	10.1	15.22617	0.452999466	c	0.055261272	2.420	18.966	1	1	1	1	1	1	1	1	1	1	1	1	0														
11	SS	10.0	15.15671	0.450527938	b	0.053631094	33.957	21.033	1	1	0	1	0	0	1	1	0	0	1	1	0														
12	SS	10.1	15.22617	0.452999466	c	0.055261272	10.457	26.171	1	1	1	1	1	1	1	1	1	0	1	0	0														
13	SS	10.6	15.56342	0.464043111	b	0.06373311	7.130	26.229	1	1	1	0	1	1	1	0	1	0	0	0	0														
14	SS	10.6	15.56342	0.464043111	c	0.06373311	4.182	11.702	1	1	1	1	1	1	1	1	1	1	1	0	0														
15	SS	11.0	15.82197	0.471493494	b	0.070894328	15.627	3.550	1	0	0	0	0	1	0	1	0	0	0	1	1														
17	SS	11.1	15.88514	0.473187268	b	0.072737745	11.070	23.689	1	1	1	1	1	1	1	1	1	0	1	1	0														
20	SS	11.9	16.37089	0.484665162	b	0.088246585	15.341	25.582	1	1	1	1	1	1	1	1	1	1	1	1	1														
21	SS	12.0	16.42930	0.485870425	c	0.090280072	35.041	20.028	1	1	1	1	1	1	0	1	1	0	1	0	0														
22	SS	12.1	16.48722	0.487030528	c	0.092334577	39.708	20.550	1	1	1	1	1	1	1	1	1	1	1	1	1														
23	SS	12.2	16.54467	0.488147024	c	0.094410081	14.173	11.026	1	1	1	0	0	1	0	1	0	1	1	1	0														
24	SS	12.3	16.60165	0.489221406	b	0.096506565	10.627	15.150	1	1	1	0	0	1	1	1	0	0	1	1	0														
25	SS	12.4	16.65817	0.490255104	c	0.09862401	2.423	19.111	1	1	1	1	1	1	1	1	1	1	1	1	0														
26	SS	12.3	16.60165	0.489221406	c	0.096506565	12.778	16.165	1	1	1	1	0	1	0	1	1	1	1	1	0														
27	SS	12.4	16.65817	0.490255104	c	0.09862401	34.635	18.106	1	1	0	1	0	1	1	1	1	1	0	1	0														
28	SS	12.6	16.76985	0.492205892	b	0.102921704	8.530	13.074	1	1	1	0	1	1	1	1	0	1	1	1	0														
29	SS	12.7	16.82503	0.493125569	b	0.105101916	36.936	2.246	1	1	1	1	1	0	1	1	0	1	1	1	0														
