Treenumber	X	Y	Species	dbh 	quality	h	factor	V	CG2	DR2	GB2	GM2	JaB2	JeB2	JF2	JH2	JT2	LD2	MaB2	MiB2	MM2	RF2	RP2	SH2
1	30.312	2.100	SS	23.8	a	17.83843585	0.48869278	0.387825615	0	0	0	0	0	1	1	0	0	1	1	0	0	1	1	1
3	30.044	5.100	SS	14.0	c	15.69655491	0.493665569	0.119284258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	30.168	7.300	SS	20.9	b	17.31394748	0.495383101	0.294252212	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
5	30.185	8.900	SS	13.2	c	15.45904523	0.489311611	0.103515631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	30.217	11.900	SS	25.2	a	18.06915578	0.484988931	0.437079716	0	1	1	1	0	1	1	1	1	1	0	0	1	1	1	0
7	30.033	13.400	SS	13.6	a	15.57954672	0.491689868	0.111279144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	30.254	15.400	SS	14.7	c	15.89349641	0.49629751	0.133870873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	30.270	16.900	SS	8.8	b	13.82238532	0.409829687	0.034454158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	30.285	18.300	SS	12.7	a	15.30317645	0.485685214	0.094152919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	30.201	19.800	SS	22.8	c	17.6651689	0.491185456	0.354260612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	30.404	20.000	SS	12.4	c	15.20668181	0.483110484	0.088718496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	30.335	22.900	SS	29.0	a	18.63608962	0.474277975	0.583812816	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1
15	30.351	24.400	SS	18.2	a	16.75558826	0.49925887	0.217629682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	30.182	27.300	SS	27.2	a	18.37743531	0.479425471	0.511957248	0	0	1	0	0	0	0	0	1	0	1	1	1	0	0	1
17	30.410	29.900	SS	15.4	a	16.08127445	0.498057948	0.149187234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
