Treenumber	X	Y	Species	dbh 	quality	h	factor	V	AM1	BD1	CL1	CR1	GM1	JH1	JL1	RM1	SE1	TeamA1	TeamB1	TS1	WE1	WW1
1	2.032	23.811	SS	15.4	c	14.10483923	0.516388731	0.135667624	1	0	0	0	1	1	1	0	1	1	0	0	1	1
2	1.643	23.969	SS	24.1	c	17.55153877	0.505130917	0.404429769	1	0	0	0	1	0	1	0	1	1	0	0	1	0
3	2.039	25.397	SS	14.2	b	13.48048081	0.517019341	0.11037704	0	0	1	0	0	0	1	0	1	0	0	0	0	1
4	4.841	27.711	SS	14.6	b	13.69427789	0.516834039	0.118491129	0	1	0	0	0	1	0	1	0	0	0	1	0	1
5	4.300	25.909	SS	17.7	a	15.17612818	0.51453271	0.192136727	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	3.532	23.762	SS	17.9	b	15.26260325	0.514331009	0.197545557	0	0	0	0	0	0	0	0	0	0	0	1	0	0
7	3.086	21.891	SS	21.8	a	16.77959551	0.509179485	0.318900539	0	0	0	0	0	1	0	0	0	0	0	0	0	0
8	2.648	20.138	SS	17.4	b	15.044566	0.514823307	0.184173119	0	0	0	0	0	0	0	0	1	0	0	0	0	1
9	2.129	16.060	SS	21	a	16.49185359	0.510418235	0.291557436	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	1.751	13.795	SS	19.3	b	15.84216084	0.512743735	0.237639856	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	1.423	8.329	SS	17.5	b	15.08867042	0.514728041	0.186807702	0	0	0	0	1	0	0	0	0	0	0	0	0	0
14	1.686	6.576	SS	12.3	b	12.37497784	0.517608815	0.076110784	0	0	0	1	1	0	0	0	0	0	0	1	1	1
15	2.126	4.538	SS	15	b	13.90229596	0.51662406	0.126921021	1	0	0	0	1	0	0	0	0	0	0	0	0	0
16	2.177	2.637	SS	11.4	c	11.79017511	0.517787943	0.062312012	1	0	0	0	1	1	1	0	1	0	0	0	1	1
17	2.377	2.637	SS	13.5	c	13.09142036	0.517287539	0.096934015	1	0	0	0	1	1	1	0	1	0	0	0	1	0
18	4.817	1.189	SS	17	b	14.86557654	0.515188298	0.173834299	1	0	0	1	0	0	1	1	1	0	0	0	1	0
19	4.929	1.337	SS	8.3	c	9.347725693	0.520303294	0.026315317	0	0	1	1	0	0	1	1	1	0	0	0	1	1
20	4.517	3.632	SS	7.7	c	8.770239895	0.522260532	0.021328976	1	1	1	0	0	1	1	1	1	1	1	1	1	1
21	4.728	3.770	SS	10.1	b	10.85833513	0.518166327	0.045078043	1	1	0	0	0	1	1	1	1	1	0	1	1	0
22	4.058	5.355	SS	11.7	b	11.99008764	0.517729099	0.066740052	1	0	0	0	0	0	0	0	1	0	0	0	1	1
23	3.998	7.069	SS	14.1	b	13.42609048	0.517061921	0.108397741	0	0	1	0	1	1	0	0	0	0	0	0	0	0
24	3.846	8.871	SS	17.5	a	15.08867042	0.514728041	0.186807702	0	0	0	0	1	0	0	0	0	0	0	1	1	0
25	4.049	10.132	SS	19.4	b	15.88193457	0.512618822	0.240653007	0	0	0	0	1	0	0	0	0	1	0	0	0	0
26	4.273	12.860	SS	9.5	c	10.38699194	0.518533553	0.038177172	1	0	1	1	0	1	1	1	1	1	1	1	1	1
27	4.389	13.057	SS	17	c	14.86557654	0.515188298	0.173834299	1	0	0	1	0	0	1	1	0	1	0	1	1	0
28	4.634	14.829	SS	6.1	c	6.977552041	0.538171616	0.010974214	1	1	1	1	1	1	1	1	1	1	1	1	1	1
29	4.608	16.947	SS	16.1	a	14.44694888	0.515914767	0.15173848	0	0	1	0	1	1	0	0	1	0	0	0	0	0
30	4.627	18.394	SS	23.2	a	17.25862477	0.506799144	0.369749768	1	0	0	0	0	0	0	0	0	0	0	0	0	0
31	4.882	20.295	SS	13.6	c	13.14821914	0.517253363	0.09879568	0	1	0	1	0	1	1	1	1	1	0	1	1	1
32	5.196	20.463	SS	10	c	10.78175539	0.518214351	0.04388224	0	1	0	1	1	1	1	1	1	1	1	0	1	1
33	5.347	22.304	SS	18.4	a	15.47463319	0.513799108	0.211416674	0	0	1	1	0	0	0	0	0	0	0	0	0	1
34	5.593	24.087	SS	18.5	b	15.51634711	0.513688025	0.214250708	0	0	0	1	0	0	0	0	1	0	0	0	0	0
35	6.355	26.066	SS	21.4	c	16.63706921	0.509810129	0.305072254	1	1	1	1	0	1	0	1	1	0	0	1	1	0
36	6.899	27.819	SS	20	b	16.11635472	0.511837791	0.259148703	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37	8.427	27.878	SS	20.6	b	16.34384518	0.511003484	0.278357177	0	0	0	0	1	0	0	0	0	0	0	0	0	0
38	8.191	25.879	SS	14.4	b	13.58812172	0.51692972	0.114394672	0	0	0	0	1	0	0	0	0	0	0	0	0	0
39	7.884	24.303	SS	12.1	a	12.2488078	0.517650389	0.072910653	0	1	1	0	1	1	0	0	0	0	0	0	0	1
40	7.146	22.265	SS	15.7	b	14.25332357	0.516195339	0.142435882	1	0	0	1	1	0	0	0	1	0	0	1	1	0
41	7.239	22.166	SS	8.5	c	9.530977208	0.519856782	0.028115699	1	0	1	1	0	1	1	1	1	0	1	1	1	1
42	6.934	20.610	SS	12.8	c	12.68163992	0.517492585	0.084448	1	1	1	1	0	1	0	1	0	1	0	0	1	1
43	6.626	20.492	SS	11.7	c	11.99008764	0.517729099	0.066740052	1	1	1	1	1	1	0	1	1	1	0	0	1	1
44	6.708	18.759	SS	21	a	16.49185359	0.510418235	0.291557436	0	0	0	0	1	0	0	0	1	0	0	1	0	0
45	6.483	16.907	SS	19.2	a	15.80218049	0.512867133	0.234646578	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46	6.236	14.741	SS	12.7	b	12.62127726	0.517517537	0.08274194	1	0	1	1	0	1	0	1	0	1	0	0	1	0
47	6.428	14.632	SS	6.4	c	7.347040593	0.533058882	0.01259904	1	0	1	1	1	1	1	1	1	1	0	0	1	1
48	5.882	10.998	SS	9.8	a	10.62627132	0.518324593	0.041545573	0	1	1	0	0	1	0	0	1	0	1	0	0	1
49	6.418	18.897	SS	21.4	a	16.63706921	0.509810129	0.305072254	0	0	0	0	1	0	0	0	0	0	0	0	0	0
50	5.283	6.586	BI	8.2	b	10.4	0.494090525	0.027136726	1	1	1	1	1	0	1	0	1	0	1	1	1	1
51	5.897	5.326	SS	16.4	b	14.58903661	0.515687246	0.158924401	0	0	0	0	1	0	0	0	0	0	0	0	0	0
52	6.080	3.602	SS	12.9	c	12.74153283	0.517466652	0.086173423	1	0	0	1	0	1	0	1	1	1	1	0	0	0
53	6.543	1.583	SS	12	c	12.18493856	0.517670464	0.071339343	1	0	0	0	0	1	0	1	1	0	1	1	1	0
54	6.437	1.485	SS	9.8	c	10.62627132	0.518324593	0.041545573	0	0	0	0	0	1	0	0	1	0	1	1	1	1
55	8.381	1.623	SS	15.3	b	14.05470094	0.516449966	0.133451237	1	1	1	1	1	1	1	1	1	1	1	1	1	1
56	8.523	3.386	SS	13.3	b	12.97654957	0.517352029	0.093269264	1	1	1	1	1	1	1	1	1	1	1	1	1	1
57	7.732	7.207	SS	12.1	b	12.2488078	0.517650389	0.072910653	1	1	1	1	1	1	1	1	1	1	1	1	1	1
58	7.904	9.334	SS	13.9	a	13.31614289	0.517142719	0.104498088	1	1	1	1	1	1	1	1	1	1	1	1	1	1
59	7.929	10.880	SS	15.8	b	14.3021885	0.516127634	0.144731701	1	1	1	1	1	1	1	1	1	1	1	1	1	1
60	8.190	12.860	SS	17.7	a	15.17612818	0.51453271	0.192136727	1	1	1	1	1	1	1	1	1	1	1	1	1	1
61	8.596	16.651	SS	16.4	b	14.58903661	0.515687246	0.158924401	1	1	1	1	1	1	1	1	1	1	1	1	1	1
62	8.864	19.960	SS	12.8	b	12.68163992	0.517492585	0.084448	1	1	1	1	1	1	1	1	1	1	1	1	1	1
63	9.102	21.674	SS	22	a	11.5	0.449167519	0.196354757	1	1	1	1	1	1	1	1	1	1	1	1	1	1
64	9.538	23.348	SS	17.5	a	15.08867042	0.514728041	0.186807702	1	1	1	1	1	1	1	1	1	1	1	1	1	1
65	9.892	25.259	SS	14.9	b	13.85081617	0.51667891	0.124783889	1	1	1	1	1	1	1	1	1	1	1	1	1	1
66	10.451	27.219	SS	12.8	a	12.68163992	0.517492585	0.084448	1	1	1	1	1	1	1	1	1	1	1	1	1	1
67	12.177	27.071	SS	20.6	b	16.34384518	0.511003484	0.278357177	0	0	0	0	1	0	0	0	0	0	0	0	0	0
68	12.020	24.904	SS	17.6	a	15.13252353	0.514631174	0.189462239	0	0	0	0	0	0	0	0	0	0	0	0	0	0
69	11.694	23.161	SS	19.3	b	15.84216084	0.512743735	0.237639856	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70	11.174	21.506	SS	15.8	b	14.3021885	0.516127634	0.144731701	0	1	1	0	0	1	0	1	0	1	0	0	1	1
71	10.952	19.832	SS	19.2	a	15.80218049	0.512867133	0.234646578	0	0	0	0	0	0	0	0	0	0	0	0	0	0
72	10.619	17.991	SS	20	b	16.11635472	0.511837791	0.259148703	0	0	0	0	0	0	0	0	0	1	0	0	0	1
73	10.593	16.257	SS	21	b	16.49185359	0.510418235	0.291557436	0	0	0	0	0	1	0	0	0	0	0	0	0	0
74	10.571	14.583	SS	20.5	a	16.30639401	0.511146187	0.275106379	0	0	0	0	0	0	0	0	0	0	0	0	1	0
75	10.236	12.722	SS	10.9	a	11.44499618	0.51789784	0.055309869	0	1	1	0	1	1	1	1	0	1	1	0	0	1
76	10.033	11.294	SS	19	b	15.72159127	0.513109357	0.228719672	0	0	0	0	0	0	0	0	0	0	0	1	0	0
77	10.286	9.275	SS	14.7	a	13.74681188	0.516783889	0.120568958	0	0	1	0	1	0	0	0	0	0	0	1	0	0
78	9.440	7.256	SS	7.3	a	8.359678558	0.52431441	0.018344969	1	1	1	1	1	1	1	1	1	1	1	1	1	1
79	10.751	7.414	SS	16.9	b	14.8201711	0.515275512	0.171299467	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80	10.181	5.070	SS	11.2	b	11.65395562	0.517829234	0.059454653	0	0	0	0	1	0	0	0	0	0	0	0	0	0
81	10.313	2.745	SS	11.1	b	11.58493094	0.517851014	0.058054263	0	1	1	0	1	0	0	0	0	0	0	0	1	1
82	10.329	1.583	SS	13	a	12.80096324	0.51743968	0.087918236	0	0	0	0	0	0	0	0	0	0	0	0	0	0
83	13.385	1.731	SS	14.9	b	13.85081617	0.51667891	0.124783889	1	0	0	0	1	1	0	0	1	0	0	0	0	0
84	13.591	1.820	SS	10.3	b	11.00924585	0.518082165	0.047524827	1	0	0	0	1	1	0	0	1	0	0	0	0	1
85	13.199	3.386	SS	17	b	14.86557654	0.515188298	0.173834299	0	0	0	0	0	0	0	0	0	0	0	0	0	0
86	12.946	5.523	SS	9.9	b	10.704406	0.518266941	0.042704766	1	1	0	1	0	1	1	1	1	1	1	0	1	0
87	13.052	5.611	SS	6.5	c	9.6	0.545066128	0.01736349	1	0	1	1	0	1	1	1	1	1	0	0	0	1
88	12.877	7.423	SS	14.4	b	12.2	0.501147204	0.099572637	0	0	1	0	0	0	0	0	0	0	0	0	0	0
89	12.706	7.847	SS	14.4	b	12	0.498851892	0.097491721	0	0	0	0	1	0	1	0	0	0	1	0	1	0
90	12.918	12.367	SS	16.7	b	14.72854859	0.515445078	0.166289632	0	0	0	0	1	0	0	0	0	0	0	0	0	0
91	13.464	17.390	SS	26.8	b	18.36879861	0.49951024	0.5175885	1	1	0	1	0	0	0	1	1	0	0	1	1	0
92	13.760	17.341	SS	16.7	c	13.7	0.504014705	0.151246941	1	1	0	1	0	1	1	1	1	0	1	0	1	1
93	13.447	18.601	SS	10.7	c	11.30246988	0.517950534	0.052640388	0	0	1	0	0	1	1	1	1	1	1	0	0	1
94	13.832	21.280	SS	14.2	b	13.48048081	0.517019341	0.11037704	0	1	0	0	0	0	0	0	1	0	0	1	0	0
95	14.372	23.309	SS	12.5	b	12.49911279	0.517564742	0.079387802	0	0	1	0	0	1	0	1	1	1	1	0	0	1
96	15.234	27.120	SS	21	b	16.49185359	0.510418235	0.291557436	0	0	0	0	0	0	0	0	0	0	0	0	0	0
97	16.313	23.565	SS	23.9	a	17.4874034	0.505510761	0.396589687	0	0	0	0	0	0	0	0	0	0	0	0	0	0
98	15.859	20.994	SS	22.4	a	16.98855495	0.508191937	0.340228059	0	1	0	0	1	0	0	0	0	0	0	1	0	0
99	15.504	19.429	SS	16.9	b	14.8201711	0.515275512	0.171299467	0	0	0	0	0	0	0	1	1	0	0	0	0	1
100	15.288	17.242	SS	24.6	b	17.70957717	0.504158816	0.424361185	1	0	0	0	1	0	0	0	0	0	0	0	0	0
101	14.914	16.504	BI	5.7	c	6.9	0.513498093	0.00904123	0	1	1	1	0	0	0	0	1	0	1	0	0	1
102	14.554	7.817	SS	14.5	b	13.64138284	0.516882645	0.116433039	0	0	0	0	1	0	0	0	0	0	0	0	1	0
103	14.553	5.779	SS	10.2	b	10.93416037	0.518122406	0.046292223	0	0	0	0	1	0	0	1	1	0	0	0	0	1
104	14.743	3.661	SS	10.3	a	11.00924585	0.518082165	0.047524827	0	0	0	0	0	0	1	0	0	0	0	0	0	0
105	14.704	2.253	SS	9.7	b	10.54733524	0.518387848	0.040404609	1	0	0	0	0	1	1	1	1	1	0	1	1	1
106	14.691	2.125	SS	7.4	b	8.464390378	0.523727537	0.019065773	1	0	1	0	0	1	1	1	1	1	1	1	1	1
107	16.757	1.928	SS	15.7	b	14.25332357	0.516195339	0.142435882	0	0	0	0	0	0	0	0	0	0	0	0	0	0
108	16.913	3.848	SS	11.4	b	11.79017511	0.517787943	0.062312012	0	0	0	0	1	0	0	1	0	0	0	0	0	0
109	16.525	3.996	SS	18.7	b	15.59910274	0.513461193	0.219978552	1	0	0	0	1	0	0	0	0	0	0	0	0	0
110	16.635	7.788	SS	11.3	b	11.72236674	0.517808272	0.06087389	0	0	0	0	1	0	1	1	1	0	0	0	0	0
111	16.321	10.073	SS	10.6	c	11.23020456	0.517979718	0.051333637	1	0	0	0	1	1	0	1	1	1	1	1	1	1
112	16.680	12.023	SS	17.6	c	15.13252353	0.514631174	0.189462239	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113	16.929	13.844	SS	7.5	c	8.567696627	0.523192695	0.019803327	1	1	1	1	0	1	1	1	1	1	1	1	0	1
114	16.863	14.258	SS	8.4	c	9.439896855	0.520069751	0.02720679	1	1	1	1	1	1	1	1	1	1	1	1	0	1
115	17.550	16.553	SS	24.9	a	17.80286559	0.503560283	0.436545944	0	0	0	0	1	0	0	0	0	0	0	0	0	0
116	17.983	20.640	SS	28.6	b	18.86908878	0.49527409	0.600369311	1	0	0	0	0	0	0	0	0	0	0	0	0	0
117	18.124	22.363	SS	11.9	c	12.12053483	0.5176902	0.069787161	1	0	1	1	1	1	0	1	1	1	0	1	1	1
118	18.240	22.560	SS	9.8	c	10.62627132	0.518324593	0.041545573	1	0	1	0	1	1	1	1	1	1	0	1	1	0
119	19.352	14.248	SS	17	b	14.86557654	0.515188298	0.173834299	1	0	0	0	0	0	0	0	0	0	0	0	0	0
120	19.419	12.348	SS	13	c	12.80096324	0.51743968	0.087918236	1	1	0	1	1	1	0	1	1	1	0	1	1	1
121	19.614	12.269	SS	8.9	c	9.884887836	0.51917731	0.031926944	1	1	1	1	1	1	1	1	1	1	1	1	1	1
122	18.876	11.727	SS	16.9	b	14.8201711	0.515275512	0.171299467	0	0	0	0	1	0	0	0	0	0	0	0	0	0
123	19.026	9.590	SS	11.2	b	11.65395562	0.517829234	0.059454653	0	1	0	1	1	1	1	1	1	0	1	1	0	0
124	18.721	9.511	SS	8.8	c	9.797924199	0.519324292	0.030947669	0	0	0	1	1	1	1	1	1	0	1	1	1	1
125	18.875	7.423	SS	7.6	b	8.669634541	0.522705122	0.020557704	0	0	1	0	0	0	1	1	1	1	1	0	1	1
126	18.742	5.523	SS	13.9	c	13.31614289	0.517142719	0.104498088	1	1	0	1	1	1	1	0	1	1	0	1	1	0
127	18.835	5.424	SS	11.8	c	12.05558761	0.517709705	0.068254075	1	1	0	1	1	1	1	0	1	1	0	1	1	1
128	19.117	3.750	SS	12.2	a	12.31215137	0.517629871	0.074501123	0	0	1	0	0	0	0	0	0	0	0	0	0	0
129	19.268	1.613	SS	8.4	b	9.439896855	0.520069751	0.02720679	1	1	0	1	0	1	1	1	1	1	0	1	1	1
130	19.461	1.514	SS	10.2	b	10.93416037	0.518122406	0.046292223	1	1	0	1	0	1	1	1	1	1	0	1	1	1
131	21.945	1.682	SS	14.5	a	13.64138284	0.516882645	0.116433039	0	0	0	0	1	0	0	0	0	0	0	0	0	0
132	21.507	3.701	SS	15.5	a	14.15465299	0.516325884	0.137903853	0	0	0	0	0	0	1	0	0	0	0	0	0	0
133	21.455	5.552	SS	11.8	b	12.05558761	0.517709705	0.068254075	0	0	1	0	0	0	0	0	0	0	0	0	0	0
134	21.500	7.364	SS	8.6	c	9.620992269	0.519662608	0.029042107	1	0	0	0	1	1	1	1	1	0	0	1	0	1
135	21.725	11.412	SS	15.7	b	14.25332357	0.516195339	0.142435882	0	0	0	0	1	0	0	0	0	0	0	0	0	0
136	21.804	13.648	SS	15.2	b	14.00423387	0.516509595	0.131254683	0	0	0	0	1	0	0	0	0	0	0	0	0	0
137	22.034	15.273	SS	11.3	b	11.72236674	0.517808272	0.06087389	0	0	0	1	0	1	1	1	0	1	0	0	1	0
138	22.150	15.469	SS	8.3	b	9.347725693	0.520303294	0.026315317	0	0	0	1	1	1	1	1	0	1	1	0	1	1
