Treenumber	Species	dbh	h	Formfactor	quality	V	X	Y	AB1	BA1	CJ1	GF1	GR1	JB1	JH1	NC1	RP1	SC1																
1	BE	19.7	19.84807	0.481244069	c	0.291142777	1.700	4.443	0	1	1	1	1	1	1	0	1	1																
2	BE	13.1	16.32975	0.449352549	c	0.098900665	2.000	4.414	0	1	1	1	1	1	1	0	0	1																
3	BE	12.3	15.78638	0.439760438	c	0.082489508	1.900	5.839	0	1	1	0	1	1	1	0	1	1																
4	BE	7.5	11.52051	0.241757199	b	0.012304489	1.700	7.600	1	1	1	1	1	1	1	1	1	1																
5	BE	9.2	13.28224	0.360329455	b	0.031815333	3.200	6.195	1	1	1	1	1	1	1	1	1	1																
6	BE	23.7	14.50000	0.500220026	c	0.319974707	3.100	6.294	1	0	0	0	0	0	1	0	0	0																
7	BE	25.8	22.17423	0.489063957	b	0.566948336	2.600	9.381	0	0	0	0	1	0	0	0	0	0																
8	BE	13.9	16.84090	0.456800042	c	0.116737668	2.900	9.520	0	1	1	1	1	1	1	0	1	1																
9	BE	31.8	23.97727	0.493026849	b	0.938889367	2.300	17.445	0	0	0	0	0	1	0	0	0	0																
10	BE	25.2	21.97132	0.488549576	b	0.53537215	3.600	19.801	0	0	1	0	0	0	0	0	0	0																
11	BE	28.6	23.06270	0.491116262	c	0.727639642	2.100	20.661	1	0	0	1	0	1	1	1	1	1																
12	BE	25.7	22.14074	0.48898048	c	0.56161643	3.000	26.321	0	0	0	0	0	1	0	0	0	0																
13	BE	20.5	20.19133	0.482749237	b	0.32172446	4.600	26.519	1	1	1	1	1	0	1	1	1	1																
14	BE	20.5	20.19133	0.482749237	b	0.32172446	5.700	15.278	0	0	0	0	1	1	0	1	0	0																
15	BE	15.0	17.49766	0.464549997	c	0.143643109	5.800	12.132	0	1	0	1	1	1	0	0	1	1																
16	BE	26.3	22.33975	0.48946892	b	0.594025033	6.000	7.471	0	0	0	0	0	1	1	0	0	0																
17	BE	28.8	23.12279	0.491246208	b	0.739970294	4.800	4.087	0	0	0	0	0	0	0	0	0	0																
18	BE	19.9	19.93517	0.481641721	b	0.298634634	7.800	4.354	0	1	1	0	0	1	1	1	1	1																
19	BE	22.9	21.14602	0.486199414	b	0.42345173	7.500	7.541	1	0	0	1	0	0	0	0	1	0																
20	BE	24.1	21.58645	0.487510798	b	0.480053251	7.600	9.134	1	0	0	0	0	1	0	1	0	1																
21	BE	18.9	13.85000	0.493253395	b	0.191660822	7.000	17.030	0	1	0	0	1	0	1	0	1	0																
22	BE	23.2	21.25825	0.486547625	b	0.437238906	6.600	23.343	0	1	0	0	0	0	0	0	1	0																
23	BE	19.3	19.67118	0.48040115	b	0.276464207	7.700	25.045	0	0	1	1	1	1	0	0	1	0																
24	BE	34.6	24.70496	0.494507062	c	1.148679091	9.600	23.096	0	0	0	0	0	0	1	0	0	0																
25	BE	26.8	22.50215	0.489854849	b	0.621800176	9.300	9.064	0	0	0	0	0	0	0	0	0	0																
26	BE	23.1	21.22100	0.486433188	b	0.4326164	9.500	4.404	0	0	0	0	0	0	0	0	0	0																
27	BE	17.0	18.57697	0.473911172	b	0.199829426	10.700	10.410	1	1	0	0	1	1	0	0	0	1																
28	BE	15.6	13.70000	0.479780471	c	0.125632561	10.600	12.073	0	1	0	1	1	1	1	1	1	1																
29	BE	43.5	26.67887	0.498891357	c	1.978070838	11.700	15.219	0	0	0	0	0	0	0	0	0	0																
